ERR,neon_cubic,1000,2000,1.000,0.0,1,2.845374e-05,1.020062e-06,1.748744e-06,6.458134e-07,2.221280e-06,5.527668e-06,1.077486e-04,9.000770e-07,4.534050e-06,2.548254e-07,1.175279e-06,1.268132e-05
ERR,neon_newton,1000,2000,1.000,0.0,1,3.005762e-05,1.026197e-06,1.784883e-06,6.658033e-07,2.230556e-06,5.606880e-06,1.169144e-04,8.946926e-07,4.755902e-06,2.500548e-07,1.087459e-06,1.240404e-05
ERR,neon_cubic,1000,2000,1.000,0.0,2,1.992193e-05,1.166815e-06,1.861581e-06,7.157313e-07,2.589049e-06,6.558226e-06,5.070116e-04,2.197218e-06,2.035893e-05,2.815012e-07,1.361386e-06,4.023585e-05
ERR,neon_newton,1000,2000,1.000,0.0,2,1.992193e-05,1.176544e-06,1.881095e-06,7.209648e-07,2.627493e-06,6.665020e-06,4.865663e-04,2.265536e-06,1.999919e-05,2.784068e-07,1.388518e-06,5.290128e-05
ERR,neon_cubic,1000,2000,1.000,0.0,3,1.385075e-05,1.067664e-06,1.719353e-06,6.735029e-07,2.434934e-06,6.525336e-06,1.235391e-04,1.003335e-06,5.521182e-06,2.796335e-07,1.173933e-06,1.806063e-05
ERR,neon_newton,1000,2000,1.000,0.0,3,1.385070e-05,1.067517e-06,1.704890e-06,6.493430e-07,2.421599e-06,6.360941e-06,1.236660e-04,1.036939e-06,5.877449e-06,2.714956e-07,1.135409e-06,1.891872e-05
ERR,neon_cubic,1000,2000,10.000,0.0,1,1.044494e-05,1.007852e-06,1.546191e-06,6.856042e-07,2.086350e-06,6.570527e-06,2.252211e-04,1.039621e-06,7.744185e-06,2.643258e-07,1.245418e-06,1.505431e-05
ERR,neon_newton,1000,2000,10.000,0.0,1,1.143917e-05,9.848666e-07,1.546086e-06,6.426694e-07,2.051162e-06,6.568240e-06,2.252211e-04,1.044211e-06,7.744808e-06,2.699808e-07,1.208196e-06,1.403579e-05
ERR,neon_cubic,1000,2000,10.000,0.0,2,1.713516e-05,1.171878e-06,1.851659e-06,7.433596e-07,2.734106e-06,6.725410e-06,6.784774e-04,2.260478e-06,2.463929e-05,2.812860e-07,1.293433e-06,3.011984e-05
ERR,neon_newton,1000,2000,10.000,0.0,2,1.713516e-05,1.157816e-06,1.840088e-06,7.336321e-07,2.691684e-06,6.725410e-06,6.784174e-04,2.243766e-06,2.459673e-05,2.907441e-07,1.302706e-06,2.763854e-05
ERR,neon_cubic,1000,2000,10.000,0.0,3,1.843296e-05,1.170758e-06,1.859442e-06,7.832652e-07,2.726444e-06,7.299120e-06,1.263520e-04,9.749566e-07,5.286895e-06,2.755357e-07,1.154715e-06,1.876941e-05
ERR,neon_newton,1000,2000,10.000,0.0,3,1.820288e-05,1.167194e-06,1.844219e-06,7.584217e-07,2.619427e-06,6.625347e-06,1.263520e-04,9.429026e-07,5.258118e-06,2.757484e-07,1.123663e-06,1.541689e-05
ERR,neon_cubic,1000,2000,1.000,1000000.0,1,2.845374e-05,1.020062e-06,1.748744e-06,6.458134e-07,2.221280e-06,5.527668e-06,1.077486e-04,9.000770e-07,4.534050e-06,2.548254e-07,1.175279e-06,1.268132e-05
ERR,neon_newton,1000,2000,1.000,1000000.0,1,3.005762e-05,1.026197e-06,1.784883e-06,6.658033e-07,2.230556e-06,5.606880e-06,1.169144e-04,8.946926e-07,4.755902e-06,2.500548e-07,1.087459e-06,1.240404e-05
ERR,neon_cubic,1000,2000,1.000,1000000.0,2,1.992193e-05,1.166815e-06,1.861581e-06,7.157313e-07,2.589049e-06,6.558226e-06,5.070116e-04,2.197218e-06,2.035893e-05,2.815012e-07,1.361386e-06,4.023585e-05
ERR,neon_newton,1000,2000,1.000,1000000.0,2,1.992193e-05,1.176544e-06,1.881095e-06,7.209648e-07,2.627493e-06,6.665020e-06,4.865663e-04,2.265536e-06,1.999919e-05,2.784068e-07,1.388518e-06,5.290128e-05
ERR,neon_cubic,1000,2000,1.000,1000000.0,3,1.385075e-05,1.067664e-06,1.719353e-06,6.735029e-07,2.434934e-06,6.525336e-06,1.235391e-04,1.003335e-06,5.521182e-06,2.796335e-07,1.173933e-06,1.806063e-05
ERR,neon_newton,1000,2000,1.000,1000000.0,3,1.385070e-05,1.067517e-06,1.704890e-06,6.493430e-07,2.421599e-06,6.360941e-06,1.236660e-04,1.036939e-06,5.877449e-06,2.714956e-07,1.135409e-06,1.891872e-05
