i,rel_acc,rel_pot
0,7.516331e-08,8.794072e-08
1,1.537144e-06,2.416647e-08
2,1.489530e-06,4.158723e-07
3,1.023196e-06,1.680389e-07
4,1.619970e-06,1.890593e-07
5,1.768865e-07,2.517571e-07
6,4.951109e-08,2.202540e-06
7,1.649622e-06,2.070514e-05
8,1.429200e-06,1.322541e-07
9,2.286489e-07,1.659523e-07
10,5.050336e-07,9.598312e-08
11,1.110762e-06,7.318292e-08
12,2.937477e-07,8.597445e-07
13,6.134035e-08,1.228255e-07
14,1.855138e-08,2.874003e-07
15,9.975988e-07,7.767648e-08
16,2.424457e-06,2.788683e-07
17,3.692807e-06,1.066254e-06
18,7.435910e-07,7.116382e-08
19,6.332658e-07,4.226952e-07
20,2.727711e-07,7.302486e-08
21,1.171537e-07,2.535481e-08
22,5.042782e-07,2.414818e-07
23,1.305127e-06,3.573993e-07
24,7.127122e-07,5.122666e-07
25,6.117445e-07,2.353780e-07
26,2.856402e-06,5.640174e-07
27,1.443707e-06,3.093227e-07
28,1.648997e-06,1.082154e-06
29,3.100199e-07,5.954764e-09
30,5.199934e-08,6.549427e-07
31,6.869364e-07,9.119181e-08
32,5.643622e-07,9.423331e-08
33,2.457388e-07,4.844869e-09
34,1.569665e-06,1.441114e-07
35,2.412550e-06,5.299794e-07
36,2.327073e-07,2.220667e-07
37,2.692882e-08,6.459946e-06
38,1.403210e-07,1.751335e-07
39,2.594463e-07,7.377033e-08
40,9.528575e-07,3.039124e-07
41,1.438433e-07,6.795527e-07
42,3.626352e-07,5.272920e-08
43,6.296439e-07,1.784062e-07
44,1.015790e-07,9.167885e-09
45,7.192871e-07,6.977977e-07
46,1.305389e-06,3.930293e-07
47,4.121115e-07,8.556158e-08
48,5.236757e-07,1.211628e-07
49,2.360603e-07,4.800037e-07
50,4.650109e-07,1.324853e-07
51,1.062724e-06,4.721954e-07
52,9.981770e-07,4.800172e-07
53,5.221637e-07,1.468219e-07
54,1.330542e-06,9.547397e-07
55,4.373349e-07,1.652332e-07
56,2.462234e-07,3.678184e-07
57,1.118590e-06,2.421783e-08
58,1.660102e-06,2.908050e-07
59,8.063909e-07,4.819441e-07
60,5.550325e-07,1.127363e-07
61,2.866465e-06,1.718611e-07
62,1.510160e-07,1.401681e-08
63,8.651112e-07,3.290643e-07
64,1.036671e-07,9.003773e-08
65,4.236966e-07,1.069737e-07
66,1.625507e-06,5.971658e-07
67,1.090633e-06,1.448788e-07
68,3.588628e-07,5.627333e-07
69,3.924322e-07,1.779826e-07
70,5.233128e-07,1.150958e-07
71,3.460903e-07,1.683350e-07
72,3.741471e-08,1.502980e-07
73,7.558474e-08,3.680378e-07
74,2.159522e-06,5.212872e-07
75,3.305083e-07,5.373639e-07
76,6.329155e-07,4.869142e-07
77,2.176490e-06,6.057878e-06
78,8.763587e-07,1.338323e-07
79,1.598979e-07,2.517978e-07
80,1.107913e-07,1.170437e-06
81,8.997503e-07,1.718200e-08
82,1.054498e-06,2.486148e-07
83,1.834507e-06,9.547950e-07
84,3.059379e-07,1.095311e-06
85,3.839203e-07,8.708096e-08
86,1.295886e-06,5.354950e-06
87,1.626346e-06,5.090168e-08
88,4.700151e-07,2.427441e-07
89,1.135814e-07,6.970158e-07
90,7.217261e-07,4.077814e-09
91,3.670721e-07,1.277601e-07
92,1.597565e-06,4.421420e-07
93,8.142168e-07,3.379140e-07
94,7.687209e-07,3.029918e-07
95,1.780624e-06,5.528998e-07
96,9.091197e-07,2.728326e-07
97,7.578169e-08,2.728315e-07
98,2.714215e-06,1.078310e-06
99,5.372614e-07,5.598804e-08
100,3.850075e-06,5.532163e-08
101,3.290878e-06,7.824242e-07
102,5.784701e-07,3.377188e-07
103,6.100073e-07,9.046348e-07
104,2.456942e-06,3.317850e-09
105,2.053134e-07,4.468330e-07
106,1.497170e-06,5.655729e-07
107,5.288911e-07,4.523746e-08
108,3.911958e-06,5.394715e-06
109,3.004306e-06,2.312495e-08
110,4.521955e-07,2.894270e-07
111,5.480627e-07,1.736184e-07
112,6.945250e-07,1.907890e-07
113,1.061421e-06,3.876535e-08
114,5.569788e-07,7.567806e-08
115,1.175916e-06,1.900616e-06
116,5.898065e-07,1.622506e-07
117,1.153189e-07,1.764736e-07
118,2.487114e-06,3.340404e-07
119,9.885046e-07,4.498373e-07
120,2.493682e-06,3.923664e-07
121,1.954406e-08,6.864577e-08
122,2.386215e-06,1.587008e-06
123,2.670201e-07,3.081690e-07
124,5.830935e-07,2.432858e-07
125,7.560867e-07,1.650276e-07
126,5.697972e-06,1.548643e-06
127,3.692036e-07,1.544930e-07
128,7.310696e-07,6.626678e-08
129,5.819851e-07,6.707507e-07
130,1.345806e-06,3.455030e-09
131,2.126983e-06,3.710091e-08
132,1.850753e-06,1.445370e-06
133,1.613890e-06,6.662297e-08
134,4.263915e-07,4.213029e-07
135,1.596413e-07,3.531472e-07
136,2.714712e-07,1.792732e-06
137,4.224865e-07,3.203438e-07
138,7.360861e-07,6.713201e-09
139,2.000018e-08,3.171703e-07
140,1.739292e-07,8.799885e-08
141,1.842803e-06,1.087459e-06
142,1.594890e-06,5.328674e-07
143,1.314791e-06,2.251493e-07
144,1.039057e-06,2.568271e-08
145,1.539276e-07,1.622495e-07
146,6.939113e-07,2.383765e-07
147,3.005762e-05,4.676916e-07
148,1.665210e-06,4.766446e-07
149,3.956427e-07,1.166580e-06
150,5.444149e-08,4.687385e-08
151,5.914020e-08,1.212294e-07
152,1.968556e-06,2.500548e-07
153,7.315546e-07,4.507676e-07
154,5.606880e-06,9.866724e-08
155,1.199254e-06,3.709965e-07
156,1.011508e-07,3.565191e-07
157,8.151225e-08,2.040378e-07
158,1.403100e-06,8.750949e-08
159,1.495878e-07,2.219133e-07
160,2.515667e-06,2.554339e-07
161,8.738440e-07,4.917360e-08
162,2.422299e-06,1.524597e-06
163,3.115012e-07,4.433360e-07
164,1.641264e-06,2.429421e-08
165,1.134562e-06,2.294741e-07
166,1.337075e-06,1.042161e-07
167,2.408954e-06,4.073389e-07
168,7.485322e-07,6.771436e-07
169,1.502390e-06,5.309077e-07
170,1.520092e-06,3.167684e-07
