i,rel_acc,rel_pot
0,2.568333e-08,7.246651e-08
1,9.520961e-07,3.624770e-07
2,1.017873e-06,6.172362e-07
3,6.212762e-07,2.198507e-08
4,2.622056e-06,6.885520e-08
5,7.989926e-07,6.504246e-07
6,1.027520e-06,7.211245e-07
7,1.041918e-07,3.094402e-07
8,4.338871e-07,3.685394e-07
9,8.779372e-07,1.203802e-07
10,1.028717e-06,4.198836e-07
11,8.679097e-07,2.032077e-07
12,4.397214e-07,2.162992e-06
13,5.990053e-07,8.303729e-08
14,2.672115e-07,2.965087e-08
15,1.114128e-07,1.140656e-07
16,6.198778e-07,6.539841e-08
17,1.127793e-06,1.293163e-08
18,4.576201e-07,3.331503e-07
19,3.195607e-07,1.012228e-07
20,2.700551e-07,6.788978e-08
21,1.360829e-06,1.245581e-06
22,1.333840e-06,1.549332e-07
23,2.670635e-07,4.591420e-07
24,2.008763e-07,1.884907e-08
25,1.756697e-06,3.935872e-07
26,4.243887e-06,1.472552e-06
27,5.337692e-06,3.477063e-07
28,1.426212e-06,1.622253e-07
29,1.183385e-06,9.814657e-08
30,3.698316e-06,1.118293e-06
31,4.759680e-07,2.125609e-07
32,2.647746e-08,4.365328e-07
33,9.784295e-08,1.683469e-07
34,1.127433e-06,3.514515e-07
35,2.905082e-07,2.925571e-08
36,9.405708e-07,1.704663e-07
37,9.821905e-08,2.953742e-07
38,1.574044e-08,1.002823e-07
39,5.881823e-06,5.573947e-07
40,1.797073e-06,5.195589e-09
41,2.279208e-06,2.759727e-07
42,7.222160e-07,6.121570e-08
43,2.791307e-07,1.433587e-07
44,8.591307e-07,3.456772e-08
45,4.899349e-07,6.055067e-08
46,1.018876e-06,3.256132e-07
47,4.814114e-07,3.271430e-07
48,1.502842e-07,1.262080e-07
49,4.531544e-07,3.116881e-07
50,2.155714e-07,6.504442e-08
51,1.938848e-09,4.652863e-08
52,1.032791e-06,5.265802e-07
53,2.490751e-06,3.305671e-05
54,4.547996e-06,4.571863e-06
55,2.926301e-06,6.816163e-07
56,6.406476e-07,2.374132e-07
57,2.042589e-06,2.455297e-07
58,9.303334e-09,2.055223e-07
59,4.211692e-07,7.206185e-08
60,6.536470e-07,2.660533e-07
61,2.048317e-07,6.327610e-07
62,6.575917e-07,9.965439e-07
63,1.432587e-06,1.166280e-07
64,2.701504e-07,3.078448e-07
65,5.153711e-07,3.834422e-07
66,5.935922e-07,2.798875e-07
67,2.588925e-07,5.153747e-08
68,1.924266e-07,1.900737e-08
69,1.002750e-06,5.628991e-07
70,1.613705e-07,4.146215e-07
71,1.235161e-06,6.758844e-07
72,8.895220e-07,8.795801e-08
73,1.579065e-07,2.799929e-07
74,6.884021e-07,8.796562e-08
75,1.996382e-08,1.987912e-07
76,1.291920e-06,2.330093e-07
77,3.289359e-08,8.325051e-09
78,2.854203e-07,1.507519e-07
79,1.254274e-07,5.675364e-07
80,1.822691e-08,2.466342e-08
81,1.630814e-06,1.403777e-08
82,4.912095e-06,3.253983e-07
83,1.681026e-06,7.775197e-07
84,4.379254e-07,7.425604e-08
85,2.533860e-07,1.502556e-07
86,2.263944e-06,2.123071e-07
87,1.115069e-07,8.022748e-07
88,5.485952e-06,1.057567e-06
89,2.891243e-07,5.777971e-08
90,7.494644e-07,3.601922e-07
91,2.432761e-07,2.788011e-06
92,8.280562e-07,1.500038e-06
93,2.226416e-07,1.397573e-07
94,2.421119e-08,7.029852e-07
95,1.239226e-07,6.337966e-07
96,1.682140e-07,3.295767e-09
97,5.055765e-07,1.323983e-06
98,8.725348e-07,3.221009e-07
99,3.676172e-07,9.758700e-07
100,8.833072e-07,3.709489e-08
101,1.655163e-06,8.042844e-07
102,6.724068e-07,3.407408e-08
103,1.407824e-06,5.451685e-07
104,3.556564e-07,3.739747e-08
105,1.549750e-07,5.340191e-07
106,7.379468e-07,1.906456e-07
107,1.201119e-06,9.113010e-07
108,9.879363e-08,1.839009e-07
109,2.209668e-07,5.896408e-07
110,9.615632e-07,4.939268e-06
111,3.747886e-07,1.401435e-06
112,9.804989e-07,7.134667e-08
113,2.901028e-07,4.431230e-07
114,9.090584e-07,1.307452e-07
115,6.534282e-06,2.650112e-06
116,1.317544e-06,8.892644e-08
117,2.297430e-07,1.293002e-07
118,4.916826e-08,1.356678e-06
119,9.667469e-08,8.363504e-09
120,1.108244e-06,1.184255e-07
121,2.937613e-06,4.836462e-07
122,1.131515e-06,4.789807e-07
123,4.899408e-07,2.495160e-07
124,1.226617e-06,1.182199e-07
125,1.100597e-06,1.802366e-07
126,3.183643e-06,9.838890e-07
127,4.278346e-07,1.227142e-07
128,3.042317e-06,4.466966e-07
129,1.286916e-06,3.790869e-07
130,1.280809e-06,4.216483e-07
131,3.643910e-07,4.833953e-07
132,4.927924e-08,6.208780e-06
133,2.063097e-06,1.021205e-06
134,4.942312e-06,2.035551e-07
135,3.431509e-07,2.783259e-07
136,4.174688e-07,1.568950e-07
137,8.625931e-07,4.227282e-07
138,1.607579e-06,2.410001e-07
139,6.254704e-07,1.349898e-07
140,3.795894e-06,8.292161e-08
141,1.070031e-06,1.145443e-08
142,1.793808e-07,4.384322e-07
143,3.270999e-07,5.884558e-08
144,2.543338e-06,9.873738e-07
145,7.384874e-08,1.359717e-07
146,1.247416e-06,1.237381e-07
147,1.019402e-07,4.640227e-07
148,4.058145e-07,4.468300e-07
149,1.096025e-06,1.965437e-07
150,7.110890e-07,5.026571e-07
151,9.386077e-07,1.639507e-07
152,1.373373e-06,1.106128e-05
153,3.151233e-06,2.208341e-06
154,1.311040e-05,5.274413e-05
155,5.395075e-07,9.500181e-08
156,6.836998e-07,5.827842e-08
157,4.234140e-08,8.708724e-07
158,4.149917e-06,9.692500e-06
159,1.238931e-06,2.291749e-07
160,1.023701e-06,1.771008e-08
161,1.060261e-06,1.359301e-07
162,1.159512e-07,2.148127e-07
163,3.246028e-07,4.785804e-08
164,5.095057e-07,7.218354e-07
165,1.161032e-07,3.182035e-07
166,3.585227e-07,2.172181e-07
167,1.681632e-08,2.060697e-07
168,3.637818e-06,6.626252e-07
169,8.868192e-08,2.719757e-08
170,8.194071e-07,1.941154e-07
171,5.934010e-07,4.716215e-07
172,4.382394e-06,1.859252e-07
173,3.864138e-07,8.994429e-07
174,8.857420e-08,9.431892e-08
175,2.434934e-06,9.391856e-07
176,3.499021e-07,1.515356e-07
177,2.007433e-06,2.008201e-07
178,1.169175e-06,1.046632e-07
179,1.238270e-08,1.733739e-07
180,6.159705e-07,2.606861e-07
181,2.127123e-06,3.596654e-07
182,1.983433e-06,1.161739e-07
183,1.249272e-06,3.108831e-07
184,5.759949e-07,3.355400e-07
185,1.503760e-07,5.848956e-07
186,2.006877e-07,9.248212e-07
187,1.118711e-06,8.686038e-07
188,6.216690e-07,2.431038e-07
189,6.889343e-07,1.199587e-07
190,2.342912e-06,4.420432e-08
191,7.388395e-07,1.160731e-07
192,6.875690e-07,6.216722e-08
193,1.168503e-06,3.110193e-07
194,3.407268e-08,6.580444e-08
195,1.082134e-06,3.442992e-07
196,2.906587e-07,7.980645e-07
197,2.528706e-06,1.314047e-07
198,2.253836e-07,6.927567e-08
199,6.687709e-07,3.903754e-07
200,1.280136e-06,2.467223e-06
201,1.512365e-06,3.474919e-07
202,8.660941e-07,1.211863e-06
203,6.986806e-07,7.932137e-07
204,1.019177e-06,2.322270e-08
205,7.524405e-07,6.523949e-07
206,1.002559e-06,7.816294e-07
207,1.170717e-06,2.507452e-06
208,4.521569e-07,1.390607e-08
209,1.556433e-06,3.024131e-07
210,7.384611e-07,6.158405e-07
211,8.234305e-07,4.300308e-07
212,6.356562e-07,2.302562e-07
213,1.256318e-06,4.707914e-07
214,5.836826e-07,1.992576e-07
215,1.648864e-06,6.482402e-08
216,1.867148e-06,4.787209e-08
217,2.948324e-07,3.152742e-07
218,1.768020e-07,4.197193e-07
219,1.838517e-06,3.303422e-07
220,5.684842e-07,6.418604e-07
221,1.251640e-06,3.750570e-07
222,7.276760e-07,6.709565e-07
223,1.264157e-06,1.103836e-06
224,1.851318e-07,4.829445e-08
225,2.036447e-06,4.692416e-07
226,1.789533e-08,9.924964e-09
227,2.052397e-07,2.227061e-07
228,1.901607e-07,1.212929e-07
229,2.080018e-06,1.251560e-06
230,1.199096e-06,9.610053e-08
231,4.747906e-07,4.640992e-07
232,1.705556e-07,6.391697e-08
233,2.533275e-07,1.774916e-07
234,1.591310e-06,3.285207e-07
235,4.345107e-07,1.979604e-07
236,7.287271e-07,1.705475e-07
237,4.226248e-06,1.163120e-06
238,7.098243e-07,1.619583e-07
239,8.977348e-07,6.225043e-09
240,3.436242e-07,9.227344e-07
241,1.143940e-06,3.466503e-07
242,1.110663e-06,1.863770e-07
243,1.831556e-06,5.989739e-07
244,1.564291e-06,6.708436e-07
245,4.517121e-06,1.710819e-07
246,1.392489e-06,4.137069e-07
247,1.898674e-06,2.772981e-07
248,3.968279e-07,1.044034e-07
249,1.979510e-06,4.233171e-07
250,7.967340e-08,7.099757e-09
251,1.008934e-06,1.076781e-07
252,1.302887e-07,3.023897e-07
253,3.394204e-07,2.936939e-07
254,1.545991e-06,4.031833e-07
255,8.171705e-07,1.161006e-07
256,1.009009e-06,1.423071e-07
257,4.658509e-07,1.696809e-07
258,3.565294e-07,3.016219e-07
259,3.222232e-07,7.762904e-07
260,5.947346e-07,5.249227e-07
261,3.682658e-07,2.167014e-07
262,2.810027e-06,2.055688e-06
263,1.195442e-06,8.147275e-07
264,1.082731e-06,6.980288e-09
265,5.051755e-07,5.087209e-07
266,8.428150e-07,2.151131e-07
267,1.312841e-07,2.332145e-07
268,3.005694e-07,3.787716e-07
269,3.770793e-07,3.223799e-07
270,1.862155e-06,3.337678e-06
271,1.478217e-06,7.360594e-07
272,1.695673e-09,2.231169e-07
273,5.230601e-06,1.282615e-06
274,1.867191e-06,1.365702e-06
275,2.555776e-07,4.879448e-08
276,1.807622e-07,6.910043e-08
277,5.939874e-07,7.071430e-08
278,1.465451e-06,3.388213e-07
279,4.502207e-07,7.652731e-07
280,1.023725e-07,6.260066e-08
281,1.342243e-06,7.649909e-08
282,9.500602e-08,1.463893e-07
283,1.038921e-06,2.286359e-05
284,1.327672e-06,7.170681e-06
285,7.691458e-07,1.034124e-06
286,2.022324e-07,3.441659e-07
287,2.788472e-07,1.524095e-07
288,7.160883e-07,8.647318e-08
289,5.988659e-08,4.377112e-07
290,5.956754e-06,7.347044e-06
291,4.285715e-07,2.755412e-07
292,5.199471e-07,3.854880e-07
293,1.146193e-07,1.560245e-07
294,1.330682e-06,1.317160e-06
295,1.417374e-07,7.441266e-08
296,2.423437e-06,5.962708e-07
297,1.204918e-06,4.513312e-07
298,3.741673e-07,1.796025e-07
299,1.170386e-06,1.249657e-07
300,1.376460e-06,3.980498e-07
301,6.660898e-07,1.092199e-07
302,4.368083e-07,9.703904e-08
303,2.276978e-06,3.948892e-07
304,4.431679e-06,5.131364e-07
305,3.620540e-07,1.854457e-06
306,1.150732e-06,1.531154e-06
307,1.638406e-06,5.565964e-07
308,9.619968e-07,2.030622e-07
309,3.892801e-06,9.933004e-08
310,6.900787e-07,3.592598e-09
311,6.477155e-07,2.193676e-07
312,2.151285e-06,1.180589e-06
313,1.123046e-06,7.745952e-07
314,7.216833e-07,1.874366e-07
315,1.979781e-06,9.046847e-07
316,7.223283e-07,1.225253e-06
317,3.667605e-07,1.367960e-08
318,3.904420e-07,7.398333e-06
319,1.034893e-07,4.397824e-08
320,6.525336e-06,1.524917e-07
321,5.414872e-07,1.240467e-07
322,1.599538e-06,1.478867e-07
323,4.650865e-07,1.535488e-07
324,1.045783e-07,2.256368e-06
325,2.380789e-06,4.074680e-08
326,1.533233e-08,2.031255e-07
327,1.385075e-05,1.923845e-05
328,4.706229e-07,8.522331e-07
329,1.619265e-06,1.253853e-06
330,1.100978e-06,1.178370e-07
