i,rel_acc,rel_pot
177,1.080741e-06,4.485981e-08
178,1.458217e-06,2.382891e-07
179,4.638888e-06,3.771420e-07
180,3.212173e-07,5.828512e-08
181,1.170355e-06,1.002534e-07
182,6.179551e-06,6.993170e-07
183,6.247773e-07,3.556413e-07
184,8.447891e-07,2.696476e-07
185,5.181603e-07,2.075131e-07
186,1.838179e-06,1.215043e-07
187,1.650201e-07,2.017608e-07
188,2.977794e-06,2.113715e-05
189,1.075394e-06,1.391642e-07
190,7.655907e-07,1.026018e-07
191,1.816355e-07,2.984141e-07
192,3.904597e-07,4.173774e-08
193,6.555641e-07,4.116115e-06
194,3.837403e-06,4.573733e-06
195,7.695296e-08,3.463333e-07
196,2.016088e-07,6.297608e-07
197,6.427737e-07,4.469425e-07
198,1.666765e-07,4.943719e-07
199,2.476955e-07,6.882198e-07
200,4.878147e-07,4.029398e-07
201,1.645560e-08,2.111505e-07
202,1.640147e-07,1.080264e-07
203,1.488294e-06,4.618744e-07
204,1.892832e-06,6.228149e-06
205,1.463467e-06,4.871885e-07
206,8.437347e-07,3.252620e-07
207,1.311131e-07,3.520269e-07
208,5.354969e-06,5.801299e-05
209,1.829166e-06,1.233990e-07
210,2.803410e-07,7.622222e-08
211,6.657359e-07,1.444117e-07
212,4.301141e-07,1.964331e-07
213,5.795355e-07,4.517589e-08
214,7.265047e-07,8.140543e-07
215,5.009041e-07,5.863059e-07
216,1.485051e-06,2.583034e-07
217,8.884487e-07,1.324956e-07
218,9.840364e-07,2.847030e-07
219,3.677130e-07,5.396422e-08
220,1.564763e-06,1.174943e-08
221,8.207077e-07,3.070810e-07
222,7.286903e-07,1.930470e-07
223,8.244921e-07,6.401468e-07
224,8.669496e-07,4.984640e-08
225,5.216867e-08,2.793096e-07
226,2.798808e-06,4.350059e-07
227,4.955852e-07,4.676453e-07
228,1.523986e-06,7.946705e-05
229,1.850591e-06,1.346183e-07
230,2.063904e-07,2.324879e-08
231,6.955335e-07,1.747937e-07
232,2.173945e-06,1.278815e-06
233,5.140951e-07,3.428652e-07
234,1.140279e-06,3.373213e-07
235,1.315901e-06,1.011197e-07
236,1.663564e-06,1.723784e-06
237,3.339900e-07,1.152636e-07
238,6.210189e-06,5.603243e-07
239,1.601532e-06,1.199174e-06
240,8.525134e-07,6.100567e-07
241,9.650755e-06,1.278045e-06
242,8.129431e-07,3.059038e-07
243,5.141618e-07,4.875830e-07
244,4.643958e-07,8.240937e-08
245,2.392322e-06,8.477072e-06
246,9.204721e-07,8.437426e-09
247,2.082771e-06,3.197728e-06
248,6.809529e-07,2.722587e-07
249,1.511835e-06,3.724268e-07
250,8.842377e-07,7.108862e-09
251,2.638703e-07,1.027443e-07
252,4.169944e-07,1.354733e-07
253,1.176729e-06,5.396111e-07
254,1.909353e-06,3.339027e-07
255,2.692589e-06,3.069426e-07
256,4.600434e-06,1.237808e-07
257,1.280162e-06,4.183990e-08
258,1.010686e-06,1.126594e-06
259,2.848750e-07,2.826767e-07
260,5.726847e-08,2.366869e-07
261,2.630189e-06,6.381660e-06
262,1.694587e-06,2.665390e-07
263,3.741735e-07,1.483336e-07
264,5.691168e-07,4.263105e-07
265,5.404578e-07,3.585779e-07
266,6.240256e-07,7.477832e-08
267,2.482947e-06,4.912664e-08
268,1.205800e-07,1.568492e-07
269,1.815673e-06,5.016515e-07
270,7.955296e-07,3.281189e-07
271,6.309264e-07,3.145359e-07
272,2.985353e-07,5.466053e-08
273,5.182139e-07,5.064840e-07
274,5.226458e-06,4.166997e-06
275,9.948956e-07,1.856600e-07
276,4.148973e-07,3.363268e-07
277,6.316575e-07,6.324298e-08
278,4.608134e-06,6.414262e-06
279,1.230411e-06,4.698908e-07
280,2.735020e-07,3.105585e-07
281,7.039863e-07,6.660599e-08
282,6.994498e-08,1.402150e-08
283,1.657819e-06,2.230525e-07
284,2.398913e-07,4.177995e-08
285,2.515608e-07,1.784948e-07
286,3.924121e-07,1.681753e-07
287,1.076976e-06,5.555609e-08
288,2.949861e-07,3.360665e-07
289,8.882353e-07,2.947257e-07
290,1.175437e-06,3.089204e-09
291,9.947634e-06,2.418914e-05
292,4.998798e-07,4.800705e-07
293,6.922405e-07,4.191742e-08
294,2.220437e-07,7.311020e-07
295,1.485331e-07,5.954244e-07
296,2.281641e-08,1.205917e-07
297,5.240232e-07,2.874347e-07
298,7.877675e-08,8.149577e-07
299,8.277474e-08,1.020980e-07
300,1.270353e-07,3.483696e-07
301,5.295287e-07,6.730795e-07
302,7.279973e-07,2.054252e-07
303,2.577114e-06,1.429591e-06
304,2.043951e-06,2.251356e-07
305,5.694933e-08,1.967529e-07
306,4.358618e-08,9.013256e-08
307,7.157313e-07,1.506929e-07
308,2.347892e-06,1.831849e-08
309,4.975220e-07,6.461811e-08
310,6.022050e-07,6.593085e-08
311,1.256175e-07,3.251808e-07
312,7.379935e-07,8.696973e-08
313,1.149619e-06,1.995507e-07
314,3.521400e-07,1.145435e-06
315,1.667473e-06,5.007659e-07
316,4.886821e-07,8.829431e-07
317,1.624118e-06,8.356519e-07
318,7.527905e-07,8.942096e-09
319,1.057311e-07,1.848419e-07
320,3.717205e-07,3.691915e-07
321,1.378252e-06,5.454553e-08
322,4.287758e-07,2.687413e-07
323,5.504448e-08,2.369989e-07
324,2.027304e-07,6.482291e-08
325,1.807753e-06,4.917753e-07
326,3.824754e-07,1.511744e-06
327,7.103591e-07,1.680382e-07
328,4.376505e-07,2.121048e-07
329,6.412866e-06,1.454381e-05
330,3.667877e-08,3.941440e-08
331,8.350933e-07,3.178533e-07
332,1.173776e-06,4.782863e-07
333,5.654527e-07,1.199902e-07
334,2.722848e-07,2.559872e-07
335,7.778428e-07,1.693474e-07
336,1.876585e-06,1.946499e-07
337,2.506077e-07,1.065248e-06
338,1.961831e-06,2.159863e-07
339,1.192672e-06,4.422747e-07
340,6.001985e-07,4.308866e-07
341,1.367240e-06,1.412441e-07
342,4.985959e-07,1.384673e-07
343,1.140982e-06,2.365021e-07
344,2.877701e-06,2.953761e-07
345,4.806502e-07,2.832040e-07
346,7.284816e-08,1.143565e-07
347,2.339636e-07,5.190954e-07
348,5.844579e-07,1.136979e-06
349,6.105942e-06,4.535038e-06
350,1.260519e-06,1.300905e-07
351,9.844038e-07,3.495244e-07
352,2.089819e-07,5.886083e-08
353,3.064072e-09,1.900938e-07
354,1.411289e-06,5.680089e-07
355,1.545142e-07,1.265457e-07
356,5.611086e-07,2.921600e-07
357,3.302231e-06,2.648160e-07
358,9.382721e-07,2.331421e-07
359,3.162307e-07,5.512888e-07
360,7.272803e-07,1.799423e-07
361,6.344278e-06,4.976977e-06
362,3.699196e-06,1.091037e-06
363,1.153008e-06,1.268671e-07
364,3.599031e-07,5.399568e-07
365,9.719779e-08,2.957802e-07
366,1.647459e-07,2.619521e-07
367,2.841357e-07,5.144942e-08
368,8.451413e-08,2.102977e-07
369,8.707635e-07,6.374502e-09
370,3.674298e-07,2.776300e-07
371,1.960963e-06,1.797161e-06
372,4.920091e-07,3.535530e-07
373,3.782542e-07,5.426748e-07
374,6.253838e-08,5.115528e-07
375,1.379086e-06,3.143439e-07
376,9.113333e-08,2.549322e-07
377,2.345015e-06,1.223796e-06
378,6.284409e-07,4.873237e-07
379,6.896028e-10,3.554253e-07
380,5.741909e-06,1.116372e-05
381,8.432057e-07,1.845526e-07
382,9.196544e-07,3.002346e-07
383,1.594799e-07,5.751220e-07
384,1.195396e-06,3.235589e-08
385,3.305849e-08,1.666874e-07
386,1.570050e-06,2.121578e-04
387,6.630544e-08,4.073474e-07
388,1.024086e-06,9.471258e-07
389,4.659983e-08,2.249389e-07
390,1.623038e-06,2.882746e-07
391,2.756214e-08,1.128159e-07
392,1.738455e-06,1.077781e-06
393,1.598047e-07,4.437447e-07
394,4.441547e-07,3.246634e-07
395,1.157175e-06,5.351539e-07
396,6.065393e-08,1.026455e-07
397,7.735559e-07,3.629745e-08
398,8.018630e-07,4.478394e-07
399,1.756465e-06,3.212596e-07
400,1.047780e-06,5.244254e-07
401,1.290969e-06,1.293062e-06
402,1.555981e-07,1.772100e-07
403,1.953046e-06,1.485928e-07
404,4.094744e-07,5.712311e-07
405,8.821017e-07,3.444524e-07
406,1.786900e-06,2.303469e-07
407,1.346345e-06,3.432000e-07
408,5.662935e-07,1.294722e-08
409,1.898939e-06,3.950738e-07
410,5.705279e-07,5.499875e-08
411,3.550131e-06,8.481885e-07
412,3.928580e-07,6.358721e-07
413,1.542697e-07,3.565234e-07
414,2.447649e-06,2.087890e-07
415,2.183804e-07,6.850558e-06
416,1.189621e-06,3.082872e-07
417,3.284730e-07,5.775100e-08
418,9.640910e-07,4.288717e-07
419,1.226701e-06,2.632919e-07
420,3.352541e-06,2.208524e-07
421,1.412408e-06,4.008208e-06
422,2.228771e-07,3.146694e-07
423,6.231371e-07,4.613298e-07
424,9.347779e-08,7.745884e-07
425,8.476671e-07,2.597901e-07
426,1.347595e-06,1.812803e-08
427,1.824488e-06,8.384270e-08
428,8.735164e-07,2.941278e-07
429,3.959043e-07,1.984974e-07
430,4.562771e-07,2.630127e-07
431,4.183242e-07,6.531676e-07
432,6.747271e-06,2.506942e-07
433,2.226398e-07,3.487172e-07
434,1.102124e-06,3.650296e-07
435,9.671877e-09,2.158645e-08
436,1.403245e-06,1.928346e-07
437,3.100678e-07,3.599329e-07
438,6.372140e-07,7.465211e-10
439,2.752913e-08,1.487458e-06
440,1.543685e-09,4.193412e-07
441,1.293424e-06,1.057472e-06
442,3.135591e-07,2.974451e-08
443,8.265933e-07,3.774708e-07
444,2.468832e-07,2.459037e-07
445,8.076405e-07,2.708994e-07
446,3.395442e-06,1.297296e-06
447,2.334886e-07,3.138049e-07
448,3.891222e-07,3.344725e-07
449,1.593918e-06,2.192501e-07
450,1.138043e-07,1.415045e-07
451,9.502580e-07,1.085688e-07
452,9.858366e-07,2.255928e-07
453,8.150424e-08,1.133054e-07
454,1.625061e-06,1.010793e-07
455,5.109301e-06,8.750563e-07
456,5.602679e-07,2.107126e-07
457,7.628034e-07,1.746840e-07
458,8.923161e-07,1.113992e-06
459,4.844946e-07,6.888061e-08
460,2.089154e-06,2.796125e-07
461,2.775492e-07,2.177018e-07
462,1.455223e-07,3.279321e-07
463,2.227365e-06,9.624154e-08
464,8.961936e-07,1.188354e-06
465,3.483016e-07,5.133753e-07
466,1.058407e-06,7.716235e-08
467,5.487368e-06,4.612227e-06
468,1.403397e-06,4.037568e-07
469,2.892417e-07,2.810842e-08
470,1.474546e-06,1.620886e-06
471,6.765850e-07,3.794655e-07
472,8.360041e-08,2.053037e-07
473,1.232319e-06,8.134060e-07
474,2.842822e-07,4.013470e-07
475,1.639767e-06,2.463006e-07
476,6.622595e-07,5.523314e-07
477,1.190013e-07,5.550534e-07
478,3.844541e-07,1.475797e-07
479,2.314441e-06,5.534411e-07
480,2.539076e-06,4.886787e-07
481,1.426728e-06,4.539750e-08
482,8.552878e-07,1.055716e-07
483,5.759632e-07,7.921909e-08
484,4.749332e-07,5.486760e-08
485,3.749387e-07,1.942508e-06
486,2.062509e-06,7.434389e-07
