i,rel_acc,rel_pot
177,1.050227e-06,2.099638e-08
178,2.090913e-06,1.747402e-07
179,4.389083e-06,3.771420e-07
180,2.697127e-07,5.828512e-08
181,1.061469e-06,1.002534e-07
182,6.645547e-06,7.694056e-07
183,6.247773e-07,3.556413e-07
184,7.863402e-07,2.696476e-07
185,4.595703e-07,2.075131e-07
186,1.745750e-06,1.215043e-07
187,1.617444e-07,2.017608e-07
188,2.977187e-06,2.073434e-05
189,9.610883e-07,1.391642e-07
190,7.144550e-07,1.704409e-07
191,1.054104e-07,1.963465e-07
192,4.833147e-07,1.167594e-07
193,6.555641e-07,4.116115e-06
194,2.872890e-06,3.880577e-06
195,1.067647e-07,2.823935e-07
196,1.896424e-07,6.297608e-07
197,5.731938e-07,4.469425e-07
198,1.629774e-07,4.291303e-07
199,2.437213e-07,6.882198e-07
200,3.796575e-07,4.029398e-07
201,1.728393e-07,2.111505e-07
202,2.410062e-07,1.080264e-07
203,1.463928e-06,4.618744e-07
204,2.130924e-06,6.392704e-06
205,1.219933e-06,4.871885e-07
206,8.250021e-07,3.252620e-07
207,1.357887e-07,3.520269e-07
208,5.354969e-06,5.801299e-05
209,1.294981e-06,1.852790e-07
210,3.505772e-07,7.622222e-08
211,6.620819e-07,7.071915e-08
212,3.119420e-07,1.964331e-07
213,3.306105e-07,1.425674e-07
214,6.369202e-07,8.140543e-07
215,3.352797e-07,5.863059e-07
216,1.489985e-06,2.583034e-07
217,8.720100e-07,1.324956e-07
218,1.028750e-06,2.847030e-07
219,1.550564e-08,2.149367e-08
220,1.561397e-06,1.174943e-08
221,9.702559e-07,3.070810e-07
222,8.313130e-07,1.930470e-07
223,7.786242e-07,6.401468e-07
224,8.767779e-07,4.984640e-08
225,1.190740e-08,2.103997e-07
226,1.965774e-06,4.350059e-07
227,6.145363e-07,6.022415e-07
228,8.236786e-07,7.946705e-05
229,1.453251e-06,2.471431e-07
230,1.443870e-07,8.510262e-08
231,7.545169e-07,1.747937e-07
232,2.774349e-06,1.378613e-06
233,5.157116e-07,3.428652e-07
234,1.140400e-06,3.373213e-07
235,1.070078e-06,1.011197e-07
236,1.649110e-06,1.723784e-06
237,3.905421e-07,1.152636e-07
238,6.244694e-06,6.734307e-07
239,1.618600e-06,1.123427e-06
240,8.987193e-07,6.100567e-07
241,9.650755e-06,1.278045e-06
242,1.060989e-06,3.059038e-07
243,5.050173e-07,4.202055e-07
244,5.397869e-07,1.449751e-08
245,1.583996e-06,7.329924e-06
246,6.306432e-07,1.232188e-07
247,2.082771e-06,3.197728e-06
248,2.298553e-07,3.357447e-07
249,1.502204e-06,3.724268e-07
250,1.060750e-06,8.677967e-08
251,7.366861e-08,2.321875e-08
252,3.468402e-07,1.354733e-07
253,1.150061e-06,5.396111e-07
254,1.762304e-06,3.339027e-07
255,2.747104e-06,4.015684e-07
256,4.196988e-06,1.861210e-07
257,1.212614e-06,4.183990e-08
258,1.015743e-06,1.126594e-06
259,3.428717e-07,1.711448e-07
260,5.377506e-08,3.151339e-07
261,3.289828e-06,7.622997e-06
262,2.136282e-06,3.579845e-07
263,1.226738e-07,1.483336e-07
264,2.037037e-07,3.494560e-07
265,5.463877e-07,4.367387e-07
266,6.217816e-07,7.477832e-08
267,1.971650e-06,4.912664e-08
268,1.586690e-07,8.376541e-08
269,4.904717e-07,2.288609e-07
270,7.849973e-07,3.281189e-07
271,6.194620e-07,3.145359e-07
272,2.989238e-07,9.096997e-08
273,2.100456e-07,5.064840e-07
274,5.332795e-06,3.941888e-06
275,4.790703e-07,3.741287e-07
276,1.624101e-07,2.650512e-07
277,2.019103e-07,1.899874e-07
278,4.608134e-06,6.414262e-06
279,1.954154e-06,5.414331e-07
280,7.629280e-08,3.105585e-07
281,1.237734e-06,6.660599e-08
282,4.488238e-08,1.402150e-08
283,1.757820e-06,2.230525e-07
284,2.192841e-07,4.177995e-08
285,2.515608e-07,1.784948e-07
286,5.786762e-07,1.681753e-07
287,1.165043e-06,5.555609e-08
288,3.576621e-07,3.360665e-07
289,9.036453e-07,2.947257e-07
290,1.196096e-06,3.089204e-09
291,9.947634e-06,2.418914e-05
292,8.631890e-08,4.161712e-07
293,7.293801e-07,4.191742e-08
294,8.350336e-07,8.410712e-07
295,1.615425e-07,7.093440e-07
296,1.038783e-07,1.884398e-07
297,1.556759e-08,2.874347e-07
298,3.194806e-07,8.149577e-07
299,7.027172e-08,1.020980e-07
300,1.550795e-07,3.483696e-07
301,4.401098e-07,6.730795e-07
302,8.215533e-07,2.054252e-07
303,3.487688e-06,1.607883e-06
304,2.123062e-06,2.251356e-07
305,3.510574e-07,2.838261e-07
306,4.358618e-08,9.013256e-08
307,6.282294e-07,1.506929e-07
308,2.054866e-06,8.037865e-08
309,1.122057e-06,6.461811e-08
310,5.472844e-07,6.593085e-08
311,1.999642e-07,3.251808e-07
312,7.379935e-07,8.696973e-08
313,4.881859e-07,3.105913e-07
314,4.631015e-07,9.486645e-07
315,1.667473e-06,5.007659e-07
316,3.887887e-07,8.829431e-07
317,1.625522e-06,8.356519e-07
318,7.267654e-07,8.942096e-09
319,1.944592e-07,2.999703e-07
320,3.116574e-07,2.899457e-07
321,1.480282e-06,5.454553e-08
322,6.398690e-07,1.971500e-07
323,1.430915e-07,2.369989e-07
324,1.635592e-07,9.698120e-09
325,1.737602e-06,4.304295e-07
326,2.672641e-07,1.654760e-06
327,7.369328e-07,1.680382e-07
328,4.376505e-07,2.121048e-07
329,6.458310e-06,1.454381e-05
330,6.807099e-08,3.941440e-08
331,8.802719e-07,3.178533e-07
332,1.544552e-06,4.782863e-07
333,5.627128e-07,2.316504e-07
334,3.738483e-07,2.559872e-07
335,3.396721e-07,1.693474e-07
336,1.876185e-06,1.946499e-07
337,1.795530e-07,9.949146e-07
338,1.821962e-06,8.225856e-08
339,1.504501e-06,3.369939e-07
340,6.001985e-07,4.308866e-07
341,7.547891e-07,1.462156e-08
342,5.446223e-07,1.384673e-07
343,1.047051e-06,3.755394e-07
344,2.920147e-06,2.953761e-07
345,3.574403e-07,2.832040e-07
346,7.284816e-08,1.143565e-07
347,2.130211e-07,6.178252e-07
348,1.063076e-06,1.388518e-06
349,6.106035e-06,4.424856e-06
350,5.449683e-07,7.725826e-09
351,1.053990e-06,3.495244e-07
352,9.444310e-07,2.896971e-08
353,3.104101e-09,1.900938e-07
354,1.411289e-06,4.991310e-07
355,6.211586e-08,1.265457e-07
356,5.288887e-07,2.107198e-07
357,2.902101e-06,2.648160e-07
358,9.637391e-07,2.331421e-07
359,2.509565e-07,5.512888e-07
360,9.041435e-07,2.438220e-07
361,6.344278e-06,4.976977e-06
362,3.726076e-06,1.181625e-06
363,8.200966e-07,5.462054e-08
364,2.760163e-07,5.399568e-07
365,1.593722e-07,2.957802e-07
366,1.621971e-08,2.619521e-07
367,6.990217e-08,1.691544e-07
368,1.281441e-07,2.102977e-07
369,5.963186e-07,6.153525e-08
370,4.681347e-07,2.167584e-07
371,1.961461e-06,1.970244e-06
372,1.772772e-06,2.362236e-07
373,1.571799e-07,4.740897e-07
374,6.079464e-08,5.115528e-07
375,1.266608e-06,3.143439e-07
376,4.787388e-08,1.525234e-07
377,2.235711e-06,1.290127e-06
378,6.221362e-07,6.058545e-07
379,6.158879e-08,2.623223e-07
380,5.742319e-06,1.092778e-05
381,1.299187e-06,1.845526e-07
382,9.960463e-07,3.002346e-07
383,1.202415e-07,5.751220e-07
384,1.119995e-06,3.235589e-08
385,2.110398e-07,1.666874e-07
386,1.570050e-06,2.121578e-04
387,5.834388e-08,4.073474e-07
388,1.024086e-06,1.031638e-06
389,2.014420e-07,2.923683e-07
390,1.487255e-06,2.882746e-07
391,1.180606e-08,2.685474e-08
392,1.700159e-06,9.784335e-07
393,3.253539e-07,4.437447e-07
394,2.097427e-07,2.567840e-07
395,1.157175e-06,7.679373e-07
396,9.679430e-07,1.026455e-07
397,6.743434e-07,1.079738e-07
398,7.987897e-07,4.478394e-07
399,1.567244e-06,2.450298e-07
400,1.114056e-06,4.593589e-07
401,9.787784e-07,1.449851e-06
402,1.744262e-07,3.077784e-07
403,1.951960e-06,1.485928e-07
404,3.889819e-07,5.712311e-07
405,9.002745e-07,3.444524e-07
406,1.780433e-06,2.303469e-07
407,1.493644e-06,2.769640e-07
408,5.641140e-07,1.294722e-08
409,1.910501e-06,3.950738e-07
410,9.280040e-07,5.499875e-08
411,4.190566e-06,1.174871e-06
412,3.928580e-07,6.358721e-07
413,2.262697e-07,4.174421e-07
414,2.444602e-06,3.237898e-07
415,2.183804e-07,6.850558e-06
416,1.503958e-06,2.461950e-07
417,2.655234e-07,5.775100e-08
418,9.943352e-07,4.288717e-07
419,1.125311e-06,1.877643e-07
420,3.596326e-06,2.208524e-07
421,1.477042e-06,4.080571e-06
422,1.113106e-07,2.529949e-07
423,6.231371e-07,3.918169e-07
424,1.487196e-07,7.745884e-07
425,8.171921e-07,1.416782e-07
426,1.770844e-06,7.787920e-08
427,1.824488e-06,2.263680e-07
428,1.507017e-06,2.941278e-07
429,3.949789e-07,1.984974e-07
430,3.148230e-07,2.032103e-07
431,4.749731e-07,6.531676e-07
432,7.531575e-06,4.943643e-07
433,4.345276e-07,2.274329e-07
434,1.035259e-06,2.684065e-07
435,3.241518e-07,2.158645e-08
436,1.410942e-06,1.928346e-07
437,2.006950e-06,8.835529e-07
438,6.925685e-07,7.465211e-10
439,9.556212e-07,1.204659e-06
440,8.284639e-09,4.193412e-07
441,1.468271e-06,1.057472e-06
442,4.753595e-07,3.814581e-08
443,8.130713e-07,4.498689e-07
444,3.150357e-07,2.459037e-07
445,8.100909e-07,2.023928e-07
446,3.765463e-06,1.522866e-06
447,3.432755e-07,2.501223e-07
448,1.252376e-07,3.344725e-07
449,5.147995e-07,2.192501e-07
