# kernel,variant,ni,nj,time_ns_per_call,interactions_per_s
epep,nosimd,256,2048,9707144.1,5.401e+07
epep,neon4,256,2048,2366599.5,2.215e+08
epep,neon1,256,2048,1871836.8,2.801e+08
epep,nosimd,1024,8,158565.8,5.166e+07
epep,neon4,1024,8,49923.5,1.641e+08
epep,neon1,1024,8,55340.1,1.480e+08
epep,nosimd,1024,32,609424.0,5.377e+07
epep,neon4,1024,32,157340.3,2.083e+08
epep,neon1,1024,32,143196.0,2.288e+08
epep,nosimd,1024,128,2411725.6,5.435e+07
epep,neon4,1024,128,587374.1,2.231e+08
epep,neon1,1024,128,493495.8,2.656e+08
epep,nosimd,1024,512,9622488.7,5.449e+07
epep,neon4,1024,512,2311060.9,2.269e+08
epep,neon1,1024,512,1902641.7,2.756e+08
epep,nosimd,1024,2048,38836281.3,5.400e+07
epep,neon4,1024,2048,9461127.8,2.217e+08
epep,neon1,1024,2048,7474077.7,2.806e+08
# kernel,variant,ni,nj,time_ns_per_call,interactions_per_s
epep,nosimd,4,8,623.1,5.136e+07
epep,neon4,4,8,387.9,8.250e+07
epep,neon1,4,8,579.2,5.525e+07
epep,nosimd,4,32,2385.8,5.365e+07
epep,neon4,4,32,810.3,1.580e+08
epep,neon1,4,32,973.9,1.314e+08
epep,nosimd,4,128,9413.8,5.439e+07
epep,neon4,4,128,2486.1,2.059e+08
epep,neon1,4,128,2605.9,1.965e+08
epep,nosimd,4,512,37584.2,5.449e+07
epep,neon4,4,512,9271.9,2.209e+08
epep,neon1,4,512,9851.8,2.079e+08
epep,nosimd,4,2048,151946.1,5.391e+07
epep,neon4,4,2048,37083.5,2.209e+08
epep,neon1,4,2048,39329.4,2.083e+08
epep,nosimd,16,8,2492.3,5.136e+07
epep,neon4,16,8,1107.2,1.156e+08
epep,neon1,16,8,1356.4,9.437e+07
epep,nosimd,16,32,9499.4,5.390e+07
epep,neon4,16,32,2795.2,1.832e+08
epep,neon1,16,32,2769.3,1.849e+08
epep,nosimd,16,128,37622.7,5.444e+07
epep,neon4,16,128,9509.8,2.154e+08
epep,neon1,16,128,8497.7,2.410e+08
epep,nosimd,16,512,150312.1,5.450e+07
epep,neon4,16,512,36472.5,2.246e+08
epep,neon1,16,512,32346.3,2.533e+08
epep,nosimd,16,2048,606910.3,5.399e+07
epep,neon4,16,2048,147961.3,2.215e+08
epep,neon1,16,2048,126845.4,2.583e+08
epep,nosimd,64,8,9956.7,5.142e+07
epep,neon4,64,8,3449.0,1.484e+08
epep,neon1,64,8,3974.8,1.288e+08
epep,nosimd,64,32,38027.3,5.386e+07
epep,neon4,64,32,10189.2,2.010e+08
epep,neon1,64,32,9514.0,2.153e+08
epep,nosimd,64,128,150569.9,5.441e+07
epep,neon4,64,128,37006.7,2.214e+08
epep,neon1,64,128,31621.4,2.591e+08
epep,nosimd,64,512,601428.5,5.448e+07
epep,neon4,64,512,144996.1,2.260e+08
epep,neon1,64,512,120820.8,2.712e+08
epep,nosimd,64,2048,2427441.1,5.400e+07
epep,neon4,64,2048,590461.0,2.220e+08
epep,neon1,64,2048,480369.0,2.729e+08
epep,nosimd,256,8,39695.5,5.159e+07
epep,neon4,256,8,12740.8,1.607e+08
epep,neon1,256,8,14255.1,1.437e+08
epep,nosimd,256,32,151955.5,5.391e+07
