i,rel_acc,rel_pot
0,6.492252e-08,7.246651e-08
1,1.033641e-06,9.896681e-08
2,1.039293e-06,6.172362e-07
3,6.700550e-07,2.198507e-08
4,2.545480e-06,6.885520e-08
5,6.724869e-07,6.504246e-07
6,1.075307e-06,7.827315e-07
7,7.712082e-07,8.202070e-08
8,4.348869e-07,3.685394e-07
9,8.671335e-07,1.203802e-07
10,1.124130e-06,4.809333e-07
11,8.310208e-07,2.032077e-07
12,4.397214e-07,2.162992e-06
13,5.625137e-07,8.303729e-08
14,9.725176e-08,2.965087e-08
15,1.967844e-07,1.140656e-07
16,1.015309e-06,6.539841e-08
17,1.935666e-06,1.700154e-07
18,5.267781e-07,3.942984e-07
19,7.069014e-07,1.012228e-07
20,6.773076e-08,6.788978e-08
21,9.617750e-07,1.245581e-06
22,1.106617e-06,4.950150e-08
23,8.647113e-08,4.591420e-07
24,2.141801e-07,1.884907e-08
25,1.989629e-06,3.935872e-07
26,4.358757e-06,1.362808e-06
27,5.326388e-06,2.457528e-07
28,2.163045e-06,1.221670e-08
29,1.765344e-06,1.758509e-07
30,3.697988e-06,1.118293e-06
31,3.526968e-07,1.324868e-07
32,1.030753e-07,4.365328e-07
33,9.909060e-08,1.683469e-07
34,1.126358e-06,3.514515e-07
35,3.838788e-08,3.598033e-08
36,8.806575e-07,1.704663e-07
37,9.871852e-08,2.953742e-07
38,3.550536e-08,1.002823e-07
39,5.966910e-06,5.573947e-07
40,2.160019e-06,5.195589e-09
41,2.376227e-06,2.759727e-07
42,7.215022e-07,1.496760e-07
43,2.306982e-07,6.448422e-08
44,3.387937e-07,2.133856e-07
45,2.008517e-07,6.055067e-08
46,9.467125e-07,3.256132e-07
47,5.489285e-07,4.370790e-07
48,1.502842e-07,1.262080e-07
49,4.858085e-07,3.116881e-07
50,1.840992e-07,1.522752e-07
51,4.844687e-07,4.652863e-08
52,1.057721e-06,5.265802e-07
53,2.490751e-06,3.305671e-05
54,3.920173e-06,4.170435e-06
55,3.394579e-06,4.907920e-07
56,6.385793e-07,2.374132e-07
57,1.477908e-06,3.509179e-07
58,4.995592e-07,2.055223e-07
59,5.381885e-07,7.206185e-08
60,7.423812e-09,2.042774e-07
61,2.048317e-07,6.327610e-07
62,1.349988e-06,1.081975e-06
63,1.392875e-06,1.166280e-07
64,3.264747e-07,3.078448e-07
65,2.806584e-07,5.167402e-08
66,5.935922e-07,2.798875e-07
67,2.411925e-07,5.153747e-08
68,4.769396e-08,1.900737e-08
69,1.025068e-06,4.831122e-07
70,8.866517e-08,4.146215e-07
71,1.226923e-06,5.700676e-07
72,5.839792e-07,2.030228e-07
73,2.181310e-08,1.867411e-07
