i,rel_acc,rel_pot
0,7.516331e-08,2.047773e-08
1,1.620892e-06,1.141024e-07
2,1.765330e-06,4.854660e-07
3,1.084218e-06,2.712862e-07
4,1.247511e-06,1.890593e-07
5,6.015211e-07,2.517571e-07
6,8.169700e-08,2.202540e-06
7,1.655388e-06,1.926791e-05
8,2.298559e-07,1.322541e-07
9,1.882695e-07,3.024995e-08
10,1.642799e-08,1.347978e-08
11,1.114952e-06,7.318292e-08
12,2.309164e-07,8.597445e-07
13,4.618261e-08,3.453559e-08
14,2.129598e-07,2.874003e-07
15,1.112504e-06,7.767648e-08
16,2.116877e-06,1.846310e-07
17,3.779590e-06,1.066254e-06
18,1.410264e-06,7.116382e-08
19,5.726606e-07,3.541734e-07
20,5.127612e-07,1.785753e-07
21,3.129510e-07,4.065270e-08
22,1.407506e-07,3.278236e-07
23,1.347551e-06,3.573993e-07
24,4.290622e-07,5.795728e-07
25,6.137400e-07,2.353780e-07
26,3.224389e-06,5.640174e-07
27,1.428033e-06,3.093227e-07
28,1.583174e-06,1.082154e-06
29,3.109058e-07,5.954764e-09
30,1.308758e-07,7.146270e-07
31,3.418362e-07,9.119181e-08
32,3.968644e-07,2.081799e-07
33,3.459426e-07,4.844869e-09
34,1.569665e-06,1.441114e-07
35,2.594186e-06,4.678334e-07
36,2.559791e-08,1.618476e-07
37,5.228594e-08,5.816576e-06
38,1.802239e-07,1.751335e-07
39,6.320286e-07,7.377033e-08
40,8.379263e-07,3.039124e-07
41,1.193701e-07,5.673200e-07
42,7.118141e-07,1.962364e-08
43,1.558621e-07,3.597497e-07
44,3.117912e-08,7.998938e-08
45,7.288941e-07,8.135842e-07
46,1.356017e-06,3.233163e-07
47,1.567910e-07,1.885023e-07
48,5.164452e-07,1.211628e-07
49,2.861480e-07,4.800037e-07
50,1.056839e-06,5.679277e-08
51,1.043037e-06,5.735551e-07
52,1.188740e-06,4.800172e-07
53,1.112234e-07,1.468219e-07
54,1.496494e-06,1.024996e-06
55,1.597169e-06,1.652332e-07
56,3.343618e-07,3.678184e-07
57,1.199957e-06,1.380547e-07
58,1.783094e-06,2.908050e-07
59,8.063909e-07,3.205295e-07
60,4.938890e-07,1.127363e-07
61,2.866465e-06,1.718611e-07
62,3.092364e-07,1.401681e-08
63,7.418078e-07,3.290643e-07
64,1.399254e-07,2.308046e-08
65,1.773314e-07,1.069737e-07
66,1.672579e-06,6.832503e-07
67,1.054376e-06,1.448788e-07
68,5.814293e-07,6.713499e-07
69,3.924322e-07,1.779826e-07
70,5.233128e-07,1.150958e-07
71,3.511039e-07,1.683350e-07
72,1.158016e-07,1.502980e-07
73,4.174204e-09,3.680378e-07
74,3.072448e-06,6.082018e-07
75,2.562559e-07,3.931511e-07
76,7.929555e-07,4.869142e-07
77,2.176604e-06,6.057878e-06
78,8.763587e-07,3.273065e-08
79,9.511666e-08,3.183327e-07
80,8.294544e-08,1.348980e-06
81,9.191794e-07,9.146198e-08
82,9.406537e-07,2.486148e-07
83,1.920898e-06,9.547950e-07
84,2.893491e-07,1.010832e-06
85,3.937129e-07,8.708096e-08
86,1.295886e-06,5.078055e-06
87,2.200445e-06,2.731572e-08
88,2.410133e-07,3.137056e-07
89,1.125863e-08,6.970158e-07
90,7.217261e-07,4.077814e-09
91,2.614559e-07,1.277601e-07
92,1.687729e-06,4.421420e-07
93,8.142168e-07,3.379140e-07
94,5.382463e-07,3.029918e-07
95,1.779614e-06,5.528998e-07
96,9.096272e-07,2.728326e-07
97,4.701564e-08,3.364733e-07
98,2.714215e-06,1.078310e-06
99,5.951449e-07,5.598804e-08
100,3.861749e-06,5.532163e-08
101,3.309874e-06,5.671302e-07
102,1.755054e-07,3.377188e-07
103,6.105215e-07,9.673393e-07
104,2.394771e-06,3.317850e-09
105,5.151989e-07,5.689615e-07
106,3.078168e-07,4.312531e-07
107,8.772698e-07,1.101427e-07
108,3.911958e-06,5.530900e-06
109,2.415779e-06,4.453018e-08
110,6.816486e-07,2.894270e-07
111,4.510615e-07,1.736184e-07
112,9.757293e-07,1.907890e-07
113,1.116251e-06,3.876535e-08
114,6.229250e-07,7.567806e-08
115,1.137789e-06,1.900616e-06
116,5.103705e-07,2.663090e-07
117,6.014100e-07,1.154401e-07
118,1.967668e-06,5.714253e-07
119,9.936978e-07,4.498373e-07
120,2.491595e-06,3.923664e-07
121,3.231428e-08,6.864577e-08
122,2.309242e-06,1.587008e-06
123,1.346562e-07,1.508708e-07
124,6.566650e-07,1.244930e-07
125,7.776421e-07,1.650276e-07
126,5.697972e-06,1.548643e-06
127,4.621095e-07,1.544930e-07
128,5.843701e-07,6.626678e-08
129,5.819851e-07,6.707507e-07
130,1.384203e-06,3.455030e-09
131,1.831581e-06,3.710091e-08
132,1.849392e-06,1.445370e-06
133,1.700773e-06,6.662297e-08
134,4.302865e-07,4.213029e-07
135,7.984279e-08,3.531472e-07
136,2.041188e-07,1.792732e-06
137,3.486335e-07,3.203438e-07
138,5.929493e-07,6.713201e-09
139,2.049142e-07,9.707640e-08
140,2.141134e-07,8.799885e-08
141,2.136698e-06,1.279881e-06
142,1.594890e-06,5.328674e-07
143,1.347483e-06,3.096899e-07
144,1.386972e-07,2.568271e-08
145,3.984409e-08,1.622495e-07
146,7.639910e-07,1.628037e-07
147,2.845374e-05,4.021449e-07
148,1.118448e-06,4.766446e-07
149,3.714924e-07,1.365997e-06
150,1.625049e-07,4.687385e-08
151,2.483837e-07,1.212294e-07
152,2.024968e-06,2.500548e-07
153,7.315546e-07,4.507676e-07
154,5.527668e-06,9.866724e-08
155,1.292863e-06,4.411050e-07
156,1.708875e-07,3.565191e-07
157,5.507676e-08,2.040378e-07
158,1.288739e-06,2.310424e-08
159,2.350876e-07,2.219133e-07
160,1.375779e-06,2.554339e-07
161,7.041948e-07,4.917360e-08
162,2.399878e-06,1.524597e-06
163,4.653000e-07,4.433360e-07
164,8.620817e-07,2.429421e-08
165,1.106180e-06,2.294741e-07
166,1.337075e-06,3.647817e-08
167,1.366084e-06,5.103621e-07
168,7.485322e-07,6.771436e-07
169,1.416357e-06,5.309077e-07
170,1.293087e-06,3.813977e-07
171,3.855339e-06,4.562775e-07
172,7.502607e-07,5.342157e-07
173,1.973578e-06,1.363949e-07
174,3.843016e-07,7.175362e-09
175,5.323360e-06,6.688328e-06
176,1.085148e-06,1.745165e-07
177,1.141779e-06,1.723585e-07
178,6.311856e-09,5.318986e-07
179,5.327059e-07,6.338843e-08
180,5.310059e-07,4.142604e-09
181,5.509892e-07,1.764673e-07
182,1.776953e-06,4.278608e-09
183,1.055324e-06,1.300560e-07
184,1.738931e-06,1.009412e-08
185,1.354081e-06,7.253678e-07
186,4.674029e-07,1.175279e-06
187,3.089821e-07,5.764040e-07
188,6.420726e-07,2.429601e-08
189,5.707010e-07,4.731574e-09
190,1.646255e-06,5.777685e-07
191,2.466953e-06,3.092614e-07
192,1.992503e-06,3.888887e-07
193,9.583911e-07,1.863541e-06
194,1.567963e-07,2.482038e-08
195,8.936976e-09,1.437396e-07
196,3.419101e-07,5.057305e-07
197,2.422466e-07,4.752772e-08
198,1.619162e-06,2.675808e-07
199,3.069885e-06,9.563718e-07
200,1.771797e-06,1.203830e-06
201,2.599725e-07,9.905755e-07
202,1.493293e-06,1.556946e-06
203,2.074540e-07,2.314080e-07
204,6.568363e-07,3.356719e-07
205,3.377513e-07,4.852472e-07
206,1.921643e-07,2.595394e-07
207,2.164787e-06,1.627840e-07
208,2.178571e-06,2.239285e-07
209,1.968202e-06,1.608206e-07
